time,rain_fall,temp,humidity,wind_direction,wind_speed,rain_now,rain_next_hour
1/15/2017 5:00,0.3,21.5,97.0,NA,NA,Yes,No
1/15/2017 6:00,0,21.5,97.0,NA,NA,No,No
1/15/2017 7:00,0,21.7,93.0,NNW,1,No,Yes
1/15/2017 8:00,1.4,22,88.0,NA,NA,Yes,Yes
1/15/2017 9:00,6.1,22,79.0,NA,NA,Yes,Yes
1/15/2017 10:00,3.6,22.1,77.0,NA,NA,Yes,Yes
1/15/2017 11:00,1.1,22.4,76.0,NA,NA,Yes,Yes
1/15/2017 12:00,0.2,22.9,81.0,NA,NA,Yes,Yes
1/15/2017 13:00,0.4,23,76.0,WNW,2,Yes,Yes
1/15/2017 14:00,0.2,23.2,85.0,NA,NA,Yes,No
1/15/2017 15:00,0,23.4,81.0,NA,NA,No,No
1/15/2017 16:00,0,23.1,86.0,NA,NA,No,No
1/15/2017 17:00,0,22.9,89.0,NA,NA,No,No
1/15/2017 18:00,0,22.8,91.0,NA,NA,No,Yes
1/15/2017 19:00,0.7,22.4,93.0,N,1,Yes,Yes
1/15/2017 20:00,0.8,21.9,93.0,NA,NA,Yes,No
1/15/2017 21:00,0,21.9,95.0,NA,NA,No,No
1/15/2017 22:00,0,21.9,94.0,NA,NA,No,Yes
1/15/2017 23:00,0.2,21.8,95.0,NA,NA,Yes,Yes
1/16/2017 0:00,0.1,21.7,95.0,NA,NA,Yes,Yes
1/16/2017 1:00,0.3,21.8,96.0,Unknown,0,Yes,No
1/16/2017 2:00,0,21.7,96.0,NA,NA,No,Yes
1/16/2017 3:00,0.1,21.5,96.0,NA,NA,Yes,No
1/16/2017 4:00,0,21.6,97.0,NA,NA,No,No
1/16/2017 5:00,0,21.6,97.0,NA,NA,No,No
1/16/2017 6:00,0,21.7,97.0,NA,NA,No,No
1/16/2017 7:00,0,22.2,92.0,NNW,1,No,No
1/16/2017 8:00,0,23.1,88.0,NA,NA,No,No
1/16/2017 9:00,0,23.7,86.0,NA,NA,No,Yes
1/16/2017 10:00,0.2,24.9,74.0,NA,NA,Yes,No
1/16/2017 11:00,0,25.5,72.0,NA,NA,No,No
1/16/2017 12:00,0,26,73.0,NA,NA,No,No
1/16/2017 13:00,0,26,74.0,NNW,1,No,No
1/16/2017 14:00,0,26.5,74.0,NA,NA,No,No
1/16/2017 15:00,0,25.9,76.0,NA,NA,No,No
1/16/2017 16:00,0,25,77.0,NA,NA,No,No
1/16/2017 17:00,0,23.8,79.0,NA,NA,No,No
1/16/2017 18:00,0,23.7,80.0,NA,NA,No,No
1/16/2017 19:00,0,23.4,92.0,N,1,No,No
1/16/2017 20:00,0,23,91.0,NA,NA,No,No
1/16/2017 21:00,0,23,87.0,NA,NA,No,No
1/16/2017 22:00,0,22.9,87.0,NA,NA,No,Yes
1/16/2017 23:00,0.6,22.9,88.0,NA,NA,Yes,Yes
1/17/2017 0:00,2.6,22.9,87.0,NA,NA,Yes,No
1/17/2017 1:00,0,22.9,88.0,Unknown,0,No,No
1/17/2017 2:00,0,22.9,83.0,NA,NA,No,No
1/17/2017 3:00,0,22.8,82.0,NA,NA,No,No
1/17/2017 4:00,0,22.7,83.0,NA,NA,No,No
1/17/2017 5:00,0,22.6,88.0,NA,NA,No,No
1/17/2017 6:00,0,22.8,92.0,NA,NA,No,No
1/17/2017 7:00,0,24,88.0,Unknown,0,No,No
1/17/2017 8:00,0,25.1,82.0,NA,NA,No,No
1/17/2017 9:00,0,26.6,88.0,NA,NA,No,No
1/17/2017 10:00,0,26.9,76.0,NA,NA,No,No
1/17/2017 11:00,0,26.7,76.0,NA,NA,No,No
1/17/2017 12:00,0,27.1,89.0,NA,NA,No,No
1/17/2017 13:00,0,26,95.0,ENE,2,No,No
1/17/2017 14:00,0,27.8,95.0,NA,NA,No,No
1/17/2017 15:00,0,27.1,95.0,NA,NA,No,No
1/17/2017 16:00,0,25.9,93.0,NA,NA,No,No
1/17/2017 17:00,0,24.8,92.0,NA,NA,No,No
1/17/2017 18:00,0,24.2,90.0,NA,NA,No,No
1/17/2017 19:00,0,23.6,90.0,NNW,1,No,No
1/17/2017 20:00,0,23.1,93.0,NA,NA,No,No
1/17/2017 21:00,0,22.8,93.0,NA,NA,No,No
1/17/2017 22:00,0,22.5,95.0,NA,NA,No,No
1/17/2017 23:00,0,22.2,92.0,NA,NA,No,No
1/18/2017 0:00,0,22,91.0,NA,NA,No,No
1/18/2017 1:00,0,21.6,88.0,Unknown,0,No,No
1/18/2017 2:00,0,21.3,83.0,NA,NA,No,No
1/18/2017 3:00,0,21,84.0,NA,NA,No,No
1/18/2017 4:00,0,21,83.0,NA,NA,No,No
1/18/2017 5:00,0,21,85.0,NA,NA,No,No
1/18/2017 6:00,0,21.1,85.0,NA,NA,No,No
1/18/2017 7:00,0,22,81.0,Unknown,0,No,No
1/18/2017 8:00,0,24,83.0,NA,NA,No,No
1/18/2017 9:00,0,25.4,84.0,NA,NA,No,No
1/18/2017 10:00,0,25.9,85.0,NA,NA,No,No
1/18/2017 11:00,0,26.3,89.0,NA,NA,No,No
1/18/2017 12:00,0,26.4,88.0,NA,NA,No,No
1/18/2017 13:00,0,26.9,81.0,NNW,1,No,No
1/18/2017 14:00,0,27.1,85.0,NA,NA,No,No
1/18/2017 15:00,0,26.5,74.0,NA,NA,No,No
1/18/2017 16:00,0,25.5,72.0,NA,NA,No,No
1/18/2017 17:00,0,24.4,70.0,NA,NA,No,No
1/18/2017 18:00,0,23.5,70.0,NA,NA,No,No
1/18/2017 19:00,0,22.7,71.0,N,1,No,No
1/18/2017 20:00,0,22.6,70.0,NA,NA,No,No
1/18/2017 21:00,0,22.1,70.0,NA,NA,No,No
1/18/2017 22:00,0,21.7,69.0,NA,NA,No,No
1/18/2017 23:00,0,21,68.0,NA,NA,No,No
1/19/2017 0:00,0,21.1,68.0,NA,NA,No,No
